1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
,Номер таска,, ,MR-3900,MR-3900,MR-3900,MR-3900,MR-3900,MR-3900,MR-3900,MR-3900,MR-3900,MR-3900,MR-3900,MR-3900,MR-2075,MR-2075,MR-3462,MR-3462,MR-3764,MR-3764,MR-3764,MR-4009,MR-4009,MR-4044,MR-4044,MR-4044,MR-4044,MR-4044,MR-4044,MR-4044,MR-4044,MR-4044,MR-4044,MR-4042,MR-4081,MR-4081,MR-4081,MR-4085,MR-4085,MR-4085,MR-4085,MR-4085,MR-4085,MR-4085,MR-4085,MR-4085,MR-4085,MR-4085,MR-4085,MR-4111,MR-4111,MR-4111,MR-4111,MR-4111,MR-4111,MR-4111,MR-4111,MR-4111,MR-4111,MR-4111,MR-4272,MR-4272,MR-4272,MR-4272,MR-4272,MR-4272,MR-4272,MR-4193,MR-4193
,Период теста,, ,45689,45689,45689,45689,45689,45689,45689,45689,45689,45689,45689,45689,44197,44197,45323,45323,45566,45566,45566,май.25,май.25,июн.25,июн.25,июн.25,июн.25,июн.25,июн.25,июн.25,июн.25,июн.25,июн.25,май.25,июн.25,июл.25,авг.25,авг.25,авг.25,авг.25,авг.25,авг.25,авг.25,авг.25,авг.25,авг.25,авг.25,авг.25,авг.25,окт.25,окт.25,окт.25,окт.25,окт.25,окт.25,окт.25,окт.25,окт.25,окт.25,окт.25,нояб.25,нояб.25,нояб.25,нояб.25,нояб.25,нояб.25,нояб.25,окт.25,окт.25
,Продукт,, ,Поиск с Нейро,Поиск с Нейро,Поиск с Нейро,РК Гигачат,РК Гигачат,Поиск с Нейро,Поиск с Нейро,Поиск с Нейро,Поиск с Нейро,Поиск с Нейро,РК Гигачат,РК Гигачат,Яндекс.Поиск,Яндекс.Поиск,Я.Бро,Я.Бро,Я.Бро,Я.Бро,Я.Бро,Я.Бро,Я.Бро,Я.Бро,Я.Бро,Я.Бро,Я.Бро,Я.Бро,Я.Бро,Я.Бро,Я.Бро,Я.Бро,Я.Бро,Поиск с Алисой,Я.Бро,Я.Бро,Я.Бро,Я.Бро,Я.Бро,Я.Бро,Я.Бро,Я.Бро,Я.Бро,ВБ,ГигаЧат,ГигаЧат,Островок,Авиасэйлс,Суточно.ру,Финансы,Финансы,Финансы,Финансы,Финансы,Финансы,Финансы,Финансы,Финансы,Финансы,Финансы,Алиса AI,Алиса AI,Алиса AI,Алиса AI,Алиса AI,Chad AI,GigaChat,Яндекс с Алисой,Яндекс с Алисой
,Кампания / Название РК,, ,Нейро реально помогает,Нейро реально помогает,Нейро реально помогает,РК Гигачат,РК Гигачат,Нейро реально помогает,Нейро реально помогает,Нейро реально помогает,Нейро реально помогает,Нейро реально помогает,РК Гигачат,РК Гигачат,Яндекс.Поиск,Яндекс.Поиск,"РК ""Нейробраузер""","РК ""Нейробраузер""","РК ""ЕКОМ""","РК ""ЕКОМ""","РК ""ЕКОМ""","РК ""Нейропродуктивность"" (Always on)","РК ""Нейропродуктивность"" (Always on)","РК ""Нейропродуктивность"" (Always on)","РК ""Нейропродуктивность"" (Always on)","РК ""Нейропродуктивность"" (Always on)","РК ""Нейропродуктивность"" (Always on)","РК ""Нейропродуктивность"" (Always on)","РК ""Нейропродуктивность"" (Always on)","РК ""Нейропродуктивность"" (Always on)","РК ""Нейропродуктивность"" (Always on)","РК ""Нейропродуктивность"" (Always on)","РК ""Нейропродуктивность"" (Always on)",Яндекс с Алисой,"РК ""Нейропродуктивность"" (Always on)","РК ""Нейропродуктивность"" (Always on)",Кринж+ИИ VS продакшн,Кринж+ИИ VS продакшн,Кринж+ИИ VS продакшн,Кринж+ИИ VS продакшн,Кринж+ИИ VS продакшн,Кринж+ИИ VS продакшн,Кринж+ИИ VS продакшн,Кринж+ИИ VS продакшн,Кринж+ИИ VS продакшн,Кринж+ИИ VS продакшн,Кринж+ИИ VS продакшн,Кринж+ИИ VS продакшн,Кринж+ИИ VS продакшн,Выгодный Вклад,Выгодный Вклад,Выгодный Вклад,Выгодный Вклад,Вклад,Вклад,ОСАГО,ОСАГО,ОСАГО,ОСАГО,ОСАГО,Запуск 28.10,Запуск 28.10,Запуск 28.10,Запуск 28.10,Запуск 28.10,Запуск 28.10,Запуск 28.10,претест с актером,претест с ИИ
,скрин,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ролик / Название креатива,Вопрос / особенности,Среднее,Дино (детская комната),Пушистый кот,Хурма вяжет,Мама,Суперсила,Гупи,Диета,Кот,Поиск,Часы для бега,Помощь с креативом,Занять ребенка,"Все магазины, все товары. В Яндексе.","Где выбрать кроссовки по картинкам. Там, где найдется все. В Яндексе.",Человек-паук,Дедпул,Сплит,Кешбек,Промокоды,1 На коне Нейроредактор,2 Облако Перевод видео,3.1 На волне (пересказ видео)_10 сек,3.2 На волне (пересказ видео)_25 сек,4.1 По нотам (поиск с Алисой)_10 сек,4.2 По нотам (поиск с Алисой)_25 сек,5.1 Гора (Протект)_10 сек,5.2 Гора (Протект)_25 сек,6.1 Штаны (кешбэк)_10 сек,6.2 Штаны (Кешбэк)_25 сек,7.1 Крылья (Промокоды)_10 сек,7.2 Крылья (Промокоды)_25 сек,Яндекс с Алисой (ИИ реально помогает),Облако Продакшн,Облако ИИ,YB_Original_Perevod,YB_AI_Cringe,YB_AI_Pixar_Bus_Perevod,YB_Ambi_AI_Bus_Perevod,7 YB_AI_Vasya_Perevod,"5 Я.Бро (Пересказ, Оригинал)","4 Я.Бро (Пересказ, ИИ)",ВБ (Черная Пятница и Харламов),ГигаЧат1  (письмо простыми словами),1ГигаЧат(помощь с юр.доками),Островок (отсылка к белому лотосу),Авиасэйлс (Сочи),Суточно.ру (Квартиру сниму на Суточно.ру),Ленивец вклад,Ленивец вклад+строка,Кролик вклад,Кролик вклад+строка,Банки.ру вклад,Сравни вклад,Ленивец-строка,Ленивец,Банки,Банки 4000,Сравни,Алиса 30 сек,Алиса 15 сек,Алиса 15 сек Фото,Алиса 15 сек теннис,Алиса 15 сек учеба,Chad AI,телек сбера 20 сек,пак с актером,пак с ИИ
Интересно ли было смотреть ролик (топ-2),,Интересно ли было смотреть этот ролик? (от 1 до 5),0.7156547885,0.664,0.658,0.731,0.834,0.663,0.724,0.656,0.751,0.779,0.735,0.669,0.699,0.65,0.73,0.7472118959,0.7086466165,0.7004608295,0.7663551402,0.703196347,0.71,0.74,0.6,0.69,0.57,0.71,0.63,0.73,0.67,0.67,0.68,0.68,0.8,0.74,0.76,0.76,0.79,0.72,0.74,0.77,0.75,0.72,0.74,0.7,0.68,0.62,0.68,0.64,0.76,0.73,0.7,0.68,0.72,0.76,0.76,0.8,0.69,0.75,0.76,0.76,0.71,0.76,0.76,0.77,0.73,0.69,0.71,0.69
Нравится (топ-2),,"В целом, понравился ли вам этот ролик? (от 1 до 7)",0.5591538132,0.529,0.509,0.585,0.695,0.528,0.568,0.519,0.609,0.599,0.563,0.508,0.541,0.47,0.55,0.5650557621,0.5620300752,0.5460829493,0.6378504673,0.5091324201,0.56,0.59,0.42,0.52,0.4,0.54,0.48,0.58,0.47,0.51,0.52,0.53,0.64,0.57,0.66,0.6,0.63,0.56,0.6,0.65,0.58,0.58,0.56,0.54,0.49,0.45,0.54,0.51,0.6,0.54,0.55,0.52,0.55,0.61,0.63,0.64,0.6,0.59,0.62,0.59,0.55,0.67,0.58,0.57,0.53,0.52,0.55,0.55
Что НЕ понравилось,Музыка,Что вам НЕ понравилось в этом ролике?,0.07346854259,0.236,0.212,0.162,0.032,0.04,0.045,0.17,0.146,0.046,0.061,0.085,0.065,,,0.06691449814,0.08082706767,0.04838709677,0.03738317757,0.08447488584,0.07,0.08,0.06,0.08,0.08,0.06,0.1,0.07,0.07,0.06,0.05,0.07,0.06,0.02,0.06,0.06,0.07,0.06,0.02,0.05,0.08,0.09,0.06,0.07,0.07,0.11,0.16,0.1,0.05,0.04,0.06,0.06,0.05,0.05,0.06,0.05,0.06,0.06,0.04,0.08,0.09,0.11,0.07,0.1,0.09,0.06,0.1,0.05
,Голос за кадром / диктор,,0.07603470408,0.212,0.193,0.165,0.028,0.075,0.08,0.057,0.065,0.069,0.073,0.085,0.061,,,0.08921933086,0.1616541353,0.05760368664,0.03738317757,0.05936073059,0.05,0.06,0.11,0.06,0.06,0.03,0.07,0.03,0.06,0.05,0.03,0.03,0.04,0.06,0.06,0.06,0.19,0.08,0.05,0.07,0.05,0.04,0.05,0.06,0.06,0.04,0.11,0.06,0.1,0.13,0.17,0.15,0.07,0.05,0.11,0.1,0.13,0.08,0.06,0.05,0.06,0.06,0.08,0.07,0.05,0.06,0.07,0.14
